project_id,role_id,judul_project,brief_case,instructions,tools_used
P001,R001,Enterprise Resource Planning System,Perusahaan membutuhkan sistem terintegrasi untuk mengelola operasi bisnis secara efisien,Identifikasi modul utama (inventory finance HR); Rancang database schema; Bangun REST API; Implementasi autentikasi; Buat dashboard monitoring; Lakukan testing dan deployment,Java; Spring Boot; MySQL
P002,R002,Responsive Company Website,Perusahaan ingin meningkatkan kehadiran online dengan website responsif,Analisis kebutuhan halaman; Buat wireframe; Implementasi UI responsif; Optimasi performa dan SEO dasar; Deploy ke hosting,React; Tailwind CSS
P003,R003,RESTful API Service,Perusahaan membutuhkan backend untuk integrasi berbagai layanan internal,Definisikan endpoint API; Desain database; Implementasi CRUD; Tambahkan autentikasi; Testing API; Deploy server,Node.js; Express; PostgreSQL
P004,R004,Full Stack Job Portal,Pengguna membutuhkan platform untuk mencari dan melamar pekerjaan secara online,Rancang fitur utama; Desain database; Bangun frontend dan backend; Integrasi API; Testing; Deploy aplikasi,MERN Stack
P005,R005,Mobile Fitness Tracker App,User ingin memonitor aktivitas kesehatan harian melalui aplikasi mobile,Desain UI/UX; Implementasi fitur tracking; Integrasi database; Tambahkan notifikasi; Testing aplikasi; Publish app,Flutter; Firebase
P006,R006,CI/CD Deployment Pipeline,Tim dev membutuhkan otomatisasi build dan deployment aplikasi,Setup repository; Konfigurasi pipeline CI/CD; Build dan test otomatis; Containerization; Deploy ke cloud; Monitoring,Docker; GitHub Actions; AWS
P007,R007,Automated Testing Suite,Aplikasi sering error sehingga dibutuhkan sistem testing otomatis,Tentukan skenario testing; Buat unit dan integration test; Jalankan automation; Analisis hasil; Perbaiki bug,Jest; Cypress
P008,R008,System Requirement Analysis Platform,Perusahaan membutuhkan dokumentasi kebutuhan sistem yang terstruktur,Kumpulkan requirement; Buat use case diagram; Desain flow sistem; Dokumentasi kebutuhan; Validasi dengan stakeholder,Figma; Draw.io
P009,R009,2D Adventure Game,Game sederhana untuk hiburan dengan level progression,Desain gameplay; Buat asset; Implementasi mekanik game; Tambah scoring system; Testing,Unity; C#
P010,R010,Smart Sensor Monitoring System,Sistem embedded untuk monitoring suhu dan kelembaban,Setup hardware sensor; Baca data sensor; Kirim data ke server; Tampilkan dashboard; Testing sistem,Arduino; C++
P011,R011,Cloud Migration Project,Perusahaan ingin migrasi sistem ke cloud untuk skalabilitas,Analisis sistem lama; Rancang arsitektur cloud; Migrasi database; Deploy aplikasi; Testing; Monitoring,AWS; EC2; S3
P012,R012,Linux Server Administration Setup,Perusahaan membutuhkan setup dan maintenance server Linux,Install OS; Konfigurasi server; Setup user dan security; Monitoring resource; Maintenance berkala,Ubuntu; Shell Script
