title,curriculum,course_url,level,duration
BerkeleyX: Psychedelics and the Mind,Module 1: Introduction to Psychedelics Module 2: Foundational Concepts in the Neurobiology of Psychedelics Module 3: LSD Module 4: Psilocybin Mushrooms Module 5: Sacred Cacti and Mescaline Module 6: DMT and Ayahuasca Module 7: MDMA,https://www.edx.org/learn/science/university-of-california-berkeley-psychedelics-and-the-mind?index=rv_product_summary&queryId=368583edfc10ee41869ac56ddae5eb14&position=15,,
"Wharton: Fundamentals of Digital Marketing, Social Media, and E-Commerce","Module 1: BEHAVIORAL FOUNDATIONS Overall Introduction to the Course Online-Offline Overview New Business Models of the Digital Economy: Principles and Examples Introduction to GRAVITY (Geography, Resistance, Adjacency, Vicinity, Isolation, Topography and You) Module 2: NEW FORMS OF INTERACTION Frictions and Commerce Variety and the Digital Economy",https://www.edx.org/learn/business-administration/the-wharton-school-of-the-university-of-pennsylvania-fundamentals-of-digital-marketing-social-media-and?index=rv_product_summary&queryId=6f0b45dd5074aad4a598b03fabc9c3a3&position=24,,
State-Bank-of-India: Basics of Digital Marketing for All,Module 1: Introduction to Digital Marketing 1.1 Demystify Digital Marketing What is Digital Marketing? Difference between traditional marketing and digital marketing Importance of digital marketing 1.2 Digital Marketing Tools to expand business Trends and scenario of the industry,https://www.edx.org/learn/digital-marketing/state-bank-of-india-basics-of-digital-marketing-for-all?index=rv_product_summary&queryId=4450b8245d890bc3548229755e74fc33&position=5,,
BerkeleyX: Fundamentals of Economics,,https://www.edx.org/learn/economics/university-of-california-berkeley-fundamentals-of-economics?index=rv_product_summary&queryId=d5e953cb05ea1f8de944d5b9038491c9&position=17,,
BerkeleyX: Advanced Concepts in Economics,Part 1 - Production and Cobb -Douglas Part 2 - Utility Maximization Part 3 - Inequality Part 4 - International Development,https://www.edx.org/learn/economics/university-of-california-berkeley-advanced-concepts-in-economics?index=rv_product_summary&queryId=368583edfc10ee41869ac56ddae5eb14&position=13,,
Wharton: Managing the Value of Customer Relationships,Topics will include: Product Centricity versus Customer Centricity Customer Equity and Firm Valuation Customer Lifetime Value Managing Customers According to Value Acquisition and Retention Optimization,https://www.edx.org/learn/business-administration/the-wharton-school-of-the-university-of-pennsylvania-managing-the-value-of-customer-relationships?index=rv_product_summary&queryId=6f0b45dd5074aad4a598b03fabc9c3a3&position=23,,
BerkeleyX: Academic and Business Writing,Curriculum Not Found,https://www.edx.org/learn/writing/university-of-california-berkeley-academic-and-business-writing?index=rv_product_summary&queryId=d5e953cb05ea1f8de944d5b9038491c9&position=23,,
DartmouthX: Developing Breakthrough Innovations with the Three Box Solution,,https://www.edx.org/learn/innovation/dartmouth-college-developing-breakthrough-innovations-with-the-three-box-solution?index=rv_product_summary&queryId=6f0b45dd5074aad4a598b03fabc9c3a3&position=6,,
GeorgetownX: Ethical Decision-Making: Cultural and Environmental Impact,Curriculum Not Found,https://www.edx.org/learn/ethics/georgetown-university-ethical-decision-making-cultural-and-environmental-impact?index=rv_product_summary&queryId=368583edfc10ee41869ac56ddae5eb14&position=10,,
logycaX: Supply Chain Design,Module 0: Welcome Why does a micro and small company need logistics? Module 1: The supply chain and its actors Why design a supply chain? What is a supply chain? What is a supply chain? Flows in the supply chain Flows in the supply chain,https://www.edx.org/learn/supply-chain-design/logyca-supply-chain-design?index=rv_product_summary&queryId=6f0b45dd5074aad4a598b03fabc9c3a3&position=11,,
BerkeleyX: Mindfulness and Resilience to Stress at Work,,https://www.edx.org/learn/mindfulness/university-of-california-berkeley-mindfulness-and-resilience-to-stress-at-work?index=rv_product_summary&queryId=d5e953cb05ea1f8de944d5b9038491c9&position=8,,
UMBC: Data Visualization,Curriculum Not Found,https://www.edx.org/learn/data-analysis-statistics/university-system-of-maryland-data-visualization-3?index=rv_product_summary&queryId=368583edfc10ee41869ac56ddae5eb14&position=23,,
"GTx: Data Structures & Algorithms IV: Pattern Matching, Dijkstra’s, MST, and Dynamic Programming Algorithms","Module 0: Introduction and Review Review of important Java principles involved in object-oriented design The Iterator & Iterable design patterns, and the Comparable & Comparator interfaces Basic “Big-Oh” notation and asymptotic analysis Module 12: Pattern Matching Algorithms Examine algorithms for text processing, the simplest being Brute Force Apply preprocessing techniques in Boyer-Moore to improve performance",https://www.edx.org/learn/data-structures/the-georgia-institute-of-technology-data-structures-algorithms-iv-pattern-matching-dijkstras-mst-and-dynamic-programming-algorithms,,
UMD: Marketing Innovative Products and Services,"Module 1: Product Strategy We’ll begin with introducing why it’s important to build a business case for your innovation. Key topics will include business model, value propositions, customer profiles, value maps, product-market fit, and industry analysis. Module 2: Go To Market Strategies Once the product strategy is established, we’ll consider go-to-market strategies. This begins with setting your marketing objectives. We’ll discuss pricing strategies, channel strategies, positioning, and messaging strategies. We’ll also introduce the minimum viable product (MVP) experience.",https://www.edx.org/learn/marketing/the-university-of-maryland-college-park-marketing-innovative-products-and-services?index=rv_product_summary&queryId=368583edfc10ee41869ac56ddae5eb14&position=5,,
Wharton: Marketing Analytics: Data Tools and Techniques,,https://www.edx.org/learn/business-administration/the-wharton-school-of-the-university-of-pennsylvania-marketing-analytics-data-tools-and-techniques?index=rv_product_summary&queryId=4450b8245d890bc3548229755e74fc33&position=2,,
HKPolyUx: Luxury Management,"Week 1: Essence of the Luxury Industry
Evaluate and discuss the essence of luxury brand management Week 2: Luxury Brand Power and Lifecycle
Address the brand potential that exists in luxury activities, and how luxury-goods businesses should be managed Week 3: The Luxury Client
Analyse critically the behaviour of luxury clientele and the long-term trends in the luxury market. Identify major research areas and issues, analyse and evaluate the literature on luxury brand management",https://www.edx.org/learn/luxury-management/the-hong-kong-polytechnic-university-luxury-management?index=rv_product_summary&queryId=6f0b45dd5074aad4a598b03fabc9c3a3&position=15,,
IIMBx: Marketing Essentials,"The course will be five weeks long. The different weeks will focus on the following: Week 1: What is Marketing? What is Marketing Management?
Week 2: Understanding Customers
Week 3: Market Positioning
Week 4: Marketing Strategy I : Product Life Cycle
Week 5: Marketing Strategy II: 4 Ps of Marketing",https://www.edx.org/learn/marketing/indian-institute-of-management-bangalore-marketing-essentials?index=rv_product_summary&queryId=d5e953cb05ea1f8de944d5b9038491c9&position=16,,
