role_id,bidang,nama_role,deskripsi,skill,gaji
R001,F01,Software Engineer / Developer,"Software Engineer adalah profesional yang merancang, mengembangkan, dan memelihara perangkat lunak berkualitas tinggi untuk memenuhi kebutuhan bisnis. Setiap harinya, mereka menulis dan meninjau kode, berkolaborasi dengan tim lintas fungsi, serta memecahkan masalah teknis yang kompleks. Peran ini menuntut pemahaman mendalam terhadap algoritma, struktur data, dan siklus pengembangan perangkat lunak.","SQL, Java, Python, Git, JavaScript, HTML, CSS, React, Agile, Docker",Rp 9.116.248
R002,F01,Frontend Developer,"Frontend Developer bertanggung jawab membangun antarmuka pengguna yang responsif, interaktif, dan menarik secara visual di sisi klien aplikasi web. Aktivitas harian mereka meliputi pengkodean HTML, CSS, dan JavaScript, mengimplementasikan desain dari tim UI/UX, serta memastikan performa dan kompatibilitas lintas browser. Mereka bekerja erat dengan backend developer dan desainer untuk menghadirkan pengalaman pengguna yang seamless.","CSS, JavaScript, React, Git, HTML, Vue.js, Angular, TypeScript, Webpack, Sass",Rp 8.981.860
R003,F01,Backend Developer,"Backend Developer membangun dan mengelola logika sisi server, basis data, serta API yang mendukung fungsionalitas aplikasi secara keseluruhan. Tugas sehari-hari mencakup perancangan endpoint RESTful, optimasi query database, pengelolaan autentikasi, dan integrasi layanan pihak ketiga. Peran ini sangat krusial dalam memastikan keandalan, keamanan, dan skalabilitas sistem.","RESTful API, PostgreSQL, MongoDB, Express.js, Git, Python, Node.js, Docker, Redis, JWT",Rp 10.075.485
R004,F01,Full Stack Developer,"Full Stack Developer memiliki kemampuan untuk mengerjakan seluruh lapisan aplikasi, mulai dari antarmuka pengguna hingga logika server dan manajemen basis data. Mereka seringkali menjadi penghubung antara tim frontend dan backend, mampu menangani kebutuhan teknis secara end-to-end. Fleksibilitas ini menjadikan Full Stack Developer aset berharga terutama dalam tim kecil atau startup yang bergerak cepat.","React, HTML, JavaScript, Node.js, Git, SQL, Vue.js, CSS, Angular, Flask",Rp 7.298.431
R005,F01,Mobile App (Android/iOS) Developer,"Mobile App Developer merancang dan membangun aplikasi untuk platform Android dan iOS, memastikan performa, kenyamanan, dan keamanan aplikasi di berbagai perangkat. Pekerjaan sehari-hari meliputi pengembangan fitur baru, debugging, integrasi API, dan optimasi antarmuka untuk pengalaman pengguna yang optimal. Mereka menggunakan bahasa seperti Kotlin, Swift, atau framework lintas platform seperti Flutter dan React Native.","Java, Kotlin, Android Studio, Swift, Git, REST API, Firebase, UI/UX Design, Xcode, Jetpack Compose",Rp 7.003.387
R006,F01,DevOps Engineer,"DevOps Engineer menjembatani tim pengembangan dan operasional dengan mengotomatisasi proses build, testing, deployment, dan pemantauan sistem. Tugas utamanya mencakup pengelolaan pipeline CI/CD, orkestrasi container menggunakan Kubernetes dan Docker, serta memastikan infrastruktur berjalan andal dan skalabel. Peran ini sangat penting dalam mendukung siklus rilis perangkat lunak yang cepat dan berkelanjutan.","Python, Linux, Kubernetes, Docker, Bash Scripting, CI/CD, Terraform, Ansible, Prometheus, Helm",Rp 9.500.000
R007,F01,QA / Software Tester,"QA / Software Tester memastikan kualitas perangkat lunak sebelum dirilis ke pengguna dengan merancang dan menjalankan skenario pengujian yang komprehensif. Aktivitas hariannya meliputi pembuatan test case, pengujian manual dan otomatis menggunakan alat seperti Selenium dan Appium, serta pelaporan bug kepada tim pengembang. Mereka berperan vital dalam menjaga kepercayaan pengguna terhadap produk.","Selenium, Appium, Java, Python, C#, API Testing, CI/CD, JIRA, TestNG, Postman",Rp 5.095.403
R008,F01,System Analyst,"System Analyst menganalisis kebutuhan bisnis dan menerjemahkannya menjadi spesifikasi teknis yang dapat diimplementasikan oleh tim pengembangan. Kegiatan utamanya mencakup pengumpulan dan dokumentasi kebutuhan, pembuatan diagram alur proses, serta evaluasi sistem yang ada untuk mengidentifikasi area perbaikan. Mereka menjadi jembatan komunikasi antara pemangku kepentingan bisnis dan tim teknologi.","SQL, UML, Requirements Analysis, BPMN, Agile, Visio, Data Modeling, JIRA, Stakeholder Management, Process Mapping",Rp 6.632.884
R009,F01,Game Developer,"Game Developer merancang, mengembangkan, dan mengoptimalkan mekanik permainan menggunakan engine seperti Unity atau Unreal Engine. Pekerjaan harian mereka meliputi pemrograman logika permainan, implementasi fisika, animasi karakter, serta optimasi performa agar game berjalan lancar di berbagai platform. Kreativitas teknis dan pemahaman mendalam tentang pengalaman bermain adalah kunci keberhasilan di peran ini.","Unreal Engine, Unity, C++, C#, Game Physics, Python, 3D Mathematics, Blender, Shader Programming, Version Control",Rp 4.361.257
R010,F01,Embedded Systems Engineer,"Embedded Systems Engineer merancang dan mengembangkan perangkat lunak yang berjalan langsung pada hardware seperti mikrokontroler, sensor, dan perangkat IoT. Tanggung jawab hariannya mencakup pemrograman firmware dalam C/C++, integrasi komponen hardware, pengujian sistem real-time, serta debugging pada level perangkat keras. Ketelitian dan pemahaman mendalam tentang arsitektur hardware menjadi kompetensi inti di bidang ini.","C/C++, IoT, MQTT, RTOS, Python, AWS IoT, Embedded Linux, Microcontrollers, Sensor Integration, Azure IoT",Rp 4.500.000
R011,F01,Cloud Engineer,"Cloud Engineer merancang, membangun, dan mengelola infrastruktur berbasis cloud di platform seperti AWS, Azure, atau GCP untuk mendukung operasional perusahaan. Tugas sehari-hari meliputi provisioning sumber daya cloud, konfigurasi jaringan virtual, manajemen keamanan, dan optimasi biaya infrastruktur. Mereka memastikan ketersediaan, skalabilitas, dan ketahanan layanan cloud yang digunakan organisasi.","Azure, AWS, Kubernetes, Terraform, Python, Docker, GCP, Bash, CloudFormation, Prometheus",Rp 7.000.000
R012,F01,System Administrator,"System Administrator bertanggung jawab atas instalasi, konfigurasi, dan pemeliharaan server serta infrastruktur IT yang mendukung operasional perusahaan. Kegiatan sehari-hari meliputi manajemen Active Directory, pengelolaan hak akses pengguna, backup data, pembaruan sistem, dan pemecahan masalah teknis. Peran ini memastikan seluruh sistem berjalan stabil, aman, dan tersedia bagi semua pengguna.","Active Directory, Windows Server, Linux, PowerShell, Network Administration, Microsoft 365, SCCM, Virtualization, Backup & Recovery, Group Policy",Rp 3.929.598
R013,F01,Network Engineer,"Network Engineer merancang, mengimplementasikan, dan memelihara infrastruktur jaringan komputer perusahaan agar tetap andal dan aman. Tugas hariannya mencakup konfigurasi router dan switch Cisco, manajemen firewall, troubleshooting konektivitas, serta pemantauan performa jaringan. Mereka memainkan peran krusial dalam memastikan konektivitas yang stabil untuk seluruh operasional bisnis.","Cisco Networking, WAN, LAN, Firewalls, DNS, Nagios, QoS, OSPF, BGP, Network Security",Rp 7.794.692
R014,F01,Project Manager,"Project Manager memimpin perencanaan, pelaksanaan, dan penyelesaian proyek teknologi sesuai jadwal, anggaran, dan standar kualitas yang ditetapkan. Pekerjaan sehari-hari meliputi koordinasi tim lintas fungsi, manajemen risiko, pelaporan kemajuan kepada pemangku kepentingan, serta memastikan seluruh deliverable terpenuhi. Kepemimpinan yang kuat dan kemampuan komunikasi efektif adalah kunci keberhasilan di peran ini.","Project Management, MS Project, JIRA, Risk Management, Agile, Scrum, Stakeholder Communication, Budgeting, PMP, Resource Planning",Rp 11.409.231
R015,F01,AR/VR Developer,"AR/VR Developer menciptakan pengalaman imersif berbasis Augmented Reality dan Virtual Reality menggunakan engine seperti Unity dan Unreal Engine. Tanggung jawab hariannya meliputi pengembangan aplikasi interaktif 3D, integrasi SDK seperti ARKit dan ARCore, optimasi rendering, serta pengujian di berbagai perangkat XR. Peran ini berada di garis terdepan inovasi teknologi yang sedang berkembang pesat.","Unity, Unreal Engine, C#, C++, ARKit, ARCore, OpenXR, 3D Modeling, Shader Graph, Spatial Computing",Rp 5.500.000
R016,F01,Blockchain Developer,"Blockchain Developer membangun aplikasi terdesentralisasi (DApps) dan smart contract di atas platform blockchain seperti Ethereum dan Hyperledger. Pekerjaan hariannya mencakup penulisan dan pengujian smart contract menggunakan Solidity, pengembangan backend Web3, serta memastikan keamanan dan efisiensi kode on-chain. Mereka mendorong transformasi digital melalui teknologi ledger yang transparan dan tidak dapat dimanipulasi.","Solidity, Ethereum, Hyperledger, Smart Contracts, Cryptography, DApps, Web3.js, Python, Java, Blockchain Architecture",Rp 11.000.000
R017,F01,System Engineer,"System Engineer bertanggung jawab atas desain, integrasi, dan pemeliharaan sistem IT yang kompleks di lingkungan enterprise. Aktivitas sehari-hari mencakup konfigurasi server Linux dan Windows, manajemen virtualisasi dengan VMware, otomasi dengan Ansible, serta pemantauan kesehatan sistem secara proaktif. Peran ini memastikan infrastruktur teknologi perusahaan berjalan optimal dan terintegrasi dengan baik.","Linux, Windows Server, Python, AWS, VMware, Networking, Bash Scripting, Ansible, System Monitoring, Active Directory",Rp 8.425.870
R018,F01,Infrastructure Architect,"Infrastructure Architect merancang dan mengawasi arsitektur infrastruktur IT perusahaan, mencakup jaringan, server, cloud, dan sistem penyimpanan data. Mereka membuat keputusan strategis tentang teknologi yang digunakan, memastikan skalabilitas jangka panjang, keandalan, dan kepatuhan terhadap standar keamanan. Kolaborasi dengan tim engineering dan kepemimpinan bisnis merupakan bagian penting dari pekerjaan ini.","AWS, Azure, Network Architecture, Cloud Infrastructure, Python, Terraform, Virtualization, Windows Server, Disaster Recovery, Load Balancing",Rp 6.300.000
R019,F01,Virtualization Specialist,"Virtualization Specialist mengelola dan mengoptimalkan lingkungan virtual menggunakan platform seperti VMware vSphere, Hyper-V, dan Proxmox. Tugas hariannya mencakup provisioning virtual machine, konfigurasi resource pooling, manajemen storage virtual, serta pemecahan masalah performa di lingkungan tervirtualisasi. Keahlian ini sangat krusial dalam mendukung efisiensi biaya dan fleksibilitas infrastruktur IT modern.","VMware vSphere, Hyper-V, Kubernetes, Proxmox, AWS, Azure, Docker, vSAN, NSX, Storage Management",Rp 5.750.000
