role_id,bidang,nama_role,deskripsi,skill,gaji,R,I,A,S,E,C,2d/3d animation,3d mathematics,3d modeling,3ds max,a/b testing,accessibility (wcag),active directory,adobe after effects,adobe illustrator,adobe photoshop,adobe premiere pro,adobe xd,affinity mapping,agile,ahrefs,airflow,amazon seller central,amplitude,analytics reporting,android studio,angular,ansible,apache spark,api testing,appium,arcore,arkit,attribution modeling,audience research,aws,aws iot,azure,azure iot,backup & recovery,backup management,bash,bash scripting,bert,bgp,bigquery,blender,blockchain architecture,blog writing,bpmn,brand advocacy,brand identity,brand messaging,brand voice,budgeting,burp suite,business requirements documentation,c#,c++,c/c++,campaign coordination,campaign performance analysis,campaign reporting,canva,ci/cd,cinema 4d,cisco networking,cloud architecture,cloud infrastructure,cloud security,cloudformation,cms,cnns,collaboration,color theory,community engagement,compliance,compliance auditing,component design,content analytics,content creation,content marketing,content moderation,content strategy,copywriting,crm,crm analytics,crm data management,cro,cryptography,css,cuda,customer segmentation,cyber threat intelligence,dapps,data analysis,data entry,data guard,data modeling,data vault,data visualization,data warehouse design,data warehousing,data-driven strategy,database design,database recovery,dax,dbt,deep learning,deep neural networks,design systems,design tokens,digital marketing,digital painting,disaster recovery,discord management,dns,docker,documentation,editing,editorial planning,email automation,email communication,email management,email marketing,embedded linux,enterprise architecture,erd design,ethereum,etl,event coordination,excel,express.js,facebook business manager,feature engineering,figma,fine-tuning,firebase,firewall configuration,firewall management,firewalls,flask,forensics,funnel analysis,game interface design,game physics,gcp,git,google ads,google analytics,google search console,google workspace,gpt,gpt-4,gpu computing,group policy,hadoop,hbase,helm,heuristic evaluation,hive,hootsuite,html,hubspot,hugging face,hugging face transformers,hyper-v,hyperledger,ids/ips,image segmentation,incident response,indesign,index optimization,indexing,influencer marketing,information architecture,instagram ads,interaction design,interview techniques,intrusion detection,inventory management,invision,iot,iso 27001,java,javascript,jetpack compose,jira,journey mapping,jwt,kafka,kali linux,keras,keyframing,keyword research,kotlin,kpi reporting,kubernetes,lan,landing page optimization,langchain,layout design,link building,linux,llms,load balancing,log analysis,lottie,machine learning,malware analysis,mapreduce,market research,marketing attribution,marketing automation,maya,meta ads,meta ads manager,meta business suite,metadata management,metasploit,microcontrollers,microservices,microsoft 365,microsoft office,mitre att&ck,mixpanel,mlflow,mlops,model deployment,model fine-tuning,mongodb,motion graphics,mqtt,ms project,mysql,nagios,named entity recognition,network administration,network architecture,network defense,network security,networking,nist framework,nlp,nltk,node.js,normalization,nosql,notion,nsx,object detection,on-page optimization,opencv,openxr,oracle,ospf,pattern libraries,penetration testing,performance marketing,performance tuning,pl/sql,pmp,postgresql,postman,power bi,powershell,process mapping,procreate,product analytics,product listing optimization,programmatic advertising,project management,project management tools,prometheus,prompt engineering,prototype testing,prototyping,proxmox,python,pytorch,qos,qradar,r,rag,react,redis,rendering,replication,requirements analysis,research,resource planning,rest api,restful api,risk assessment,risk management,rnns,roi analysis,rtos,salesforce crm,sass,scala,sccm,scheduling,scikit-learn,scrum,selenium,sem,semrush,sensor integration,seo,seo basics,seo writing,shader graph,shader programming,shopify,siem,sketch,sketching,smart contracts,snowflake,social media,social media content,social media management,social media marketing,social media strategy,solidity,solution design,spacy,spark,spatial audio,spatial computing,splunk,sql,ssrs,stakeholder analysis,stakeholder communication,stakeholder management,statistical analysis,statistical modeling,storage management,stored procedures,storyboarding,storybook,substance painter,survey design,swift,system monitoring,t-sql,tableau,technical seo,tensorflow,terraform,testng,text classification,texturing,threat analysis,threat intelligence,threat modeling,tiktok,trello,typescript,typography,ui/ux design,uml,unity,unity ui,unreal engine,usability testing,user feedback analysis,user interface design,user research,uv mapping,ux principles,vector databases,version control,virtualization,visio,visual composition,visual effects,vmware,vmware vsphere,vsan,vue.js,vulnerability assessment,vulnerability management,vulnerability scanning,wan,web3.js,webpack,windows,windows server,wireframing,woocommerce,xcode,yolo,zbrush
R001,F01,Software Engineer / Developer,"Software Engineer adalah profesional yang merancang, mengembangkan, dan memelihara perangkat lunak berkualitas tinggi untuk memenuhi kebutuhan bisnis. Setiap harinya, mereka menulis dan meninjau kode, berkolaborasi dengan tim lintas fungsi, serta memecahkan masalah teknis yang kompleks. Peran ini menuntut pemahaman mendalam terhadap algoritma, struktur data, dan siklus pengembangan perangkat lunak.","sql,java,python,git,javascript,html,css,react,agile,docker",9116248,0.435,0.842,0.228,0.135,0.145,0.77,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
R002,F01,Frontend Developer,"Frontend Developer bertanggung jawab membangun antarmuka pengguna yang responsif, interaktif, dan menarik secara visual di sisi klien aplikasi web. Aktivitas harian mereka meliputi pengkodean HTML, CSS, dan JavaScript, mengimplementasikan desain dari tim UI/UX, serta memastikan performa dan kompatibilitas lintas browser. Mereka bekerja erat dengan backend developer dan desainer untuk menghadirkan pengalaman pengguna yang seamless.","css,javascript,react,git,html,vue.js,angular,typescript,webpack,sass",8981860,0.167,0.75,0.75,0.25,0.167,0.583,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
R003,F01,Backend Developer,"Backend Developer membangun dan mengelola logika sisi server, basis data, serta API yang mendukung fungsionalitas aplikasi secara keseluruhan. Tugas sehari-hari mencakup perancangan endpoint RESTful, optimasi query database, pengelolaan autentikasi, dan integrasi layanan pihak ketiga. Peran ini sangat krusial dalam memastikan keandalan, keamanan, dan skalabilitas sistem.","restful api,postgresql,mongodb,express.js,git,python,node.js,docker,redis,jwt",10075485,0.25,0.967,0.167,0.083,0.133,0.833,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
R004,F01,Full Stack Developer,"Full Stack Developer memiliki kemampuan untuk mengerjakan seluruh lapisan aplikasi, mulai dari antarmuka pengguna hingga logika server dan manajemen basis data. Mereka seringkali menjadi penghubung antara tim frontend dan backend, mampu menangani kebutuhan teknis secara end-to-end. Fleksibilitas ini menjadikan Full Stack Developer aset berharga terutama dalam tim kecil atau startup yang bergerak cepat.","react,html,javascript,node.js,git,sql,vue.js,css,angular,flask",7298431,0.25,0.917,0.5,0.167,0.167,0.75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
R005,F01,Mobile App (Android/iOS) Developer,"Mobile App Developer merancang dan membangun aplikasi untuk platform Android dan iOS, memastikan performa, kenyamanan, dan keamanan aplikasi di berbagai perangkat. Pekerjaan sehari-hari meliputi pengembangan fitur baru, debugging, integrasi API, dan optimasi antarmuka untuk pengalaman pengguna yang optimal. Mereka menggunakan bahasa seperti Kotlin, Swift, atau framework lintas platform seperti Flutter dan React Native.","java,kotlin,android studio,swift,git,rest api,firebase,ui/ux design,xcode,jetpack compose",7003387,0.25,0.867,0.417,0.167,0.167,0.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
R006,F01,DevOps Engineer,"DevOps Engineer menjembatani tim pengembangan dan operasional dengan mengotomatisasi proses build, testing, deployment, dan pemantauan sistem. Tugas utamanya mencakup pengelolaan pipeline CI/CD, orkestrasi container menggunakan Kubernetes dan Docker, serta memastikan infrastruktur berjalan andal dan skalabel. Peran ini sangat penting dalam mendukung siklus rilis perangkat lunak yang cepat dan berkelanjutan.","python,linux,kubernetes,docker,bash scripting,ci/cd,terraform,ansible,prometheus,helm",9500000,0.333,0.833,0.083,0.083,0.167,0.967,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
R007,F01,QA / Software Tester,"QA / Software Tester memastikan kualitas perangkat lunak sebelum dirilis ke pengguna dengan merancang dan menjalankan skenario pengujian yang komprehensif. Aktivitas hariannya meliputi pembuatan test case, pengujian manual dan otomatis menggunakan alat seperti Selenium dan Appium, serta pelaporan bug kepada tim pengembang. Mereka berperan vital dalam menjaga kepercayaan pengguna terhadap produk.","selenium,appium,java,python,c#,api testing,ci/cd,jira,testng,postman",5095403,0.467,0.793,0.115,0.088,0.095,0.778,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
R008,F01,System Analyst,"System Analyst menganalisis kebutuhan bisnis dan menerjemahkannya menjadi spesifikasi teknis yang dapat diimplementasikan oleh tim pengembangan. Kegiatan utamanya mencakup pengumpulan dan dokumentasi kebutuhan, pembuatan diagram alur proses, serta evaluasi sistem yang ada untuk mengidentifikasi area perbaikan. Mereka menjadi jembatan komunikasi antara pemangku kepentingan bisnis dan tim teknologi.","sql,uml,requirements analysis,bpmn,agile,visio,data modeling,jira,stakeholder management,process mapping",6632884,0.25,0.917,0.25,0.417,0.333,0.75,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
R009,F01,Game Developer,"Game Developer merancang, mengembangkan, dan mengoptimalkan mekanik permainan menggunakan engine seperti Unity atau Unreal Engine. Pekerjaan harian mereka meliputi pemrograman logika permainan, implementasi fisika, animasi karakter, serta optimasi performa agar game berjalan lancar di berbagai platform. Kreativitas teknis dan pemahaman mendalam tentang pengalaman bermain adalah kunci keberhasilan di peran ini.","unreal engine,unity,c++,c#,game physics,python,3d mathematics,blender,shader programming,version control",4361257,0.25,0.833,0.75,0.167,0.167,0.5,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
R010,F01,Embedded Systems Engineer,"Embedded Systems Engineer merancang dan mengembangkan perangkat lunak yang berjalan langsung pada hardware seperti mikrokontroler, sensor, dan perangkat IoT. Tanggung jawab hariannya mencakup pemrograman firmware dalam C/C++, integrasi komponen hardware, pengujian sistem real-time, serta debugging pada level perangkat keras. Ketelitian dan pemahaman mendalam tentang arsitektur hardware menjadi kompetensi inti di bidang ini.","c/c++,iot,mqtt,rtos,python,aws iot,embedded linux,microcontrollers,sensor integration,azure iot",4500000,0.583,0.833,0.083,0.083,0.083,0.833,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
